id;key;label;data_type;data_format;values
1;Mission;Car Senior;NUMBER;invoice;Brand Senior program
2;open-source Monitored;Gorgeous;CURRENCY;copy UAE Dirham impactful;ubiquitous Assurance hub
3;Bedfordshire sky blue;Books seamless;CURRENCY;Refined sticky copying;Shoes hacking streamline
4;bottom-line;payment;NUMBER;Plastic tan;expedite Grocery
5;Borders teal Consultant;Malagasy Ariary;NUMBER;Borders grow neural;Electronics Assistant Clothing
6;purple;Forges;TEXT;ROI;Berkshire array Sharable
7;Investment Account Liaison;deposit;LATLONG;microchip ADP;quantifying index
8;Junctions withdrawal Plastic;orange;ENUM;Fantastic Soft Gloves protocol Serbia;Applications Dynamic Saint Lucia
9;Branding;Granite;TEXT;Human time-frame Ergonomic Rubber Shirt;Soft connecting portals
10;Rubber;Rustic Granite Tuna;CURRENCY;synergize;connecting synthesize matrix
