id;key;label;category;product_key;polling_interval;modified
1;862eb16a-c934-480c-935e-7d884ca4abb3;navigating;knowledge user Cambridgeshire mobile;Clothing;77221;53055
2;1a41b762-054b-4f4a-a203-5b10affb03de;Azerbaijan deposit;scalable;discrete open-source Administrator;47535;34912
3;5a14bb44-c0e5-45f4-9a32-af10f1615c29;Principal Kentucky;adapter Tools;Glens;8162;49661
4;d006766e-575b-4abd-9574-0bc64a338a47;Berkshire Human;mobile;Pre-emptive Exclusive reciprocal;83590;29226
5;73437b99-75c3-456f-88e3-7c54fc85684d;e-services workforce Checking Account;auxiliary transmitter;function indexing array;23054;8789
6;805ce70e-aebd-4cfd-9172-ce6d386a5b52;1080p clear-thinking;solid state British Indian Ocean Territory (Chagos Archipelago) Intelligent Metal Hat;Senior multi-byte;81056;92112
7;85712a8b-facc-46a0-b235-57b238a388a9;user-facing Zimbabwe Dollar New Jersey;Kids generating;Fresh productize Advanced;79057;42191
8;9f76a324-afd4-4a8f-945d-864cb15a42d6;synthesizing e-business SAS;circuit Senior harness;withdrawal;36603;26291
9;4f33721b-85c2-4cd1-811a-7bff6ea7fcc9;artificial intelligence quantify;Decentralized incubate payment;6th generation;31609;46779
10;4224bfc5-5e5c-4939-8f47-687a4d00ae16;Creative;interface withdrawal productize;exploit leading-edge enable;8319;68054
