id;key;label;data_format;max_length;precision;values
1;matrix;Marketing Metal Polarised;Rubber empower Cambridgeshire;65051;12636;OLD
2;Indian Rupee Ngultrum Assistant;SSL;SCSI extranet;50992;65155;TENDER_BYPASSED
3;Internal Jewelery Designer;Chair Massachusetts;Kuwait SMS;51963;99014;WITHDRAWN
4;Wooden;Sleek;Switchable wireless parsing;18638;78923;OLD
5;Fort;Salad JSON;ROI;7016;85778;ACCEPTED
6;Up-sized;Managed Union transmitting;Falkland Islands (Malvinas) program Via;77702;65402;NO_OFFERS
7;generate;Customizable wireless;architectures card initiatives;56672;70706;ACCEPTED
8;schemas generating Wisconsin;Unbranded Frozen Mouse Brooks;architectures Incredible Soft Shirt;47194;4947;TENDER_BYPASSED
9;Vision-oriented;Bike California;Down-sized Avon;84524;55406;REMOVED
10;Administrator solutions Stand-alone;e-business Plastic;bandwidth;96597;37518;SPOTMARKET
