id;key;label;landing_page
1;1766e468-02bd-4582-840a-f19a623641ed;Forward generating;supply-chains France
2;ed2bfcfa-c6a4-4af9-90df-7674f5c07b0b;Branding backing up Steel;deposit
3;15dc0597-fa80-405d-97e8-6120a98fc9d7;navigate;Identity
4;dda55b34-13e6-465a-8b60-1e8c9186e419;Michigan;Street
5;2a8fea6c-56d1-4574-8f4a-87e647ca9024;Ramp quantify;payment
6;7a8e95b1-eb26-4ffa-81a2-af8110023383;Books service-desk;green Cotton JBOD
7;3927fd3f-dd34-4fdc-92a4-201b6dbd93ef;monitoring Inverse Berkshire;magnetic panel
8;4078b7d7-2190-497e-92b1-f0939e803dc8;morph Dale;port Fresh Music
9;00768481-7370-43b7-bea5-b51f55009ec0;Alaska;Vatu withdrawal Supervisor
10;b0085427-ccab-4aa3-baa5-d69041f05b3a;back up Direct;optical Gambia Streamlined
