id;key;label
1;cffe03d3-af80-4a3b-8d5f-5e968492317e;Small Metal Hat navigate real-time
2;d89502d9-c646-419e-885b-54b8ca105d8f;Executive Locks
3;8d503fa9-b882-4c93-b236-c844ebbbf009;Supervisor Central blue
4;20860874-881f-45b7-a3e4-6f2f6c9bdd1a;sky blue Fully-configurable Alabama
5;f4e6ec41-8813-4cc5-a00d-6edc415e639f;Sleek
6;21a21369-50e8-4ccf-9bde-2d20ef0847bb;AGP Gorgeous
7;8ed60cf9-7b3a-49b4-a367-3680be3bfd45;Graphical User Interface Cambridgeshire
8;84e134ad-96f3-4602-9271-8fd001879d41;empower compressing Lodge
9;ad25d014-ea14-4353-bcea-c6ad9b963354;Pennsylvania
10;3ee70086-1888-499a-986c-42bb12542d77;Concrete
